dispositif,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,5820.00,36050.00,2364240.00,75,Nouvelle-Aquitaine,JZ,Information et communication,2020-10-27
Activite Partielle,9460.00,27800.00,1772440.00,75,Nouvelle-Aquitaine,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,8435.00,24170.00,1787935.00,75,Nouvelle-Aquitaine,LZ,Activités immobilières,2020-10-27
Activite Partielle,45585.00,280560.00,16505130.00,75,Nouvelle-Aquitaine,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,26085.00,139220.00,7038375.00,75,Nouvelle-Aquitaine,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,40710.00,153055.00,10108520.00,75,Nouvelle-Aquitaine,RU,Autres activités de services,2020-10-27
Activite Partielle,4405.00,10650.00,713080.00,76,Occitanie,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,9235.00,42045.00,2619275.00,76,Occitanie,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,0.00,10.00,700.00,76,Occitanie,C2,Cokéfaction et raffinage,2020-10-27
Activite Partielle,2080.00,40015.00,2186955.00,76,Occitanie,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,770.00,104350.00,4093810.00,76,Occitanie,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,15305.00,148975.00,9282580.00,76,Occitanie,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,2095.00,14270.00,927765.00,76,Occitanie,DE,Industries extractives,2020-10-27
Activite Partielle,43615.00,213135.00,15675605.00,76,Occitanie,FZ,Construction,2020-10-27
Activite Partielle,82825.00,365860.00,26207280.00,76,Occitanie,GZ,Commerce,2020-10-27
Activite Partielle,10570.00,116200.00,6737225.00,76,Occitanie,HZ,Transports et entreposage,2020-10-27
Activite Partielle,56755.00,278095.00,23183640.00,76,Occitanie,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,7050.00,56010.00,3995505.00,76,Occitanie,JZ,Information et communication,2020-10-27
Activite Partielle,9260.00,26180.00,1660185.00,76,Occitanie,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,8510.00,24865.00,1884125.00,76,Occitanie,LZ,Activités immobilières,2020-10-27
Activite Partielle,50530.00,372875.00,22739860.00,76,Occitanie,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,29165.00,163825.00,8328590.00,76,Occitanie,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,40355.00,171630.00,10947990.00,76,Occitanie,RU,Autres activités de services,2020-10-27
Activite Partielle,2565.00,8415.00,486150.00,52,Pays de la Loire,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,5485.00,37895.00,2009435.00,52,Pays de la Loire,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,0.00,155.00,5475.00,52,Pays de la Loire,C2,Cokéfaction et raffinage,2020-10-27
Activite Partielle,1900.00,64925.00,3417315.00,52,Pays de la Loire,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,850.00,75455.00,3752195.00,52,Pays de la Loire,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,13150.00,198595.00,11089135.00,52,Pays de la Loire,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,1305.00,10345.00,628895.00,52,Pays de la Loire,DE,Industries extractives,2020-10-27
Activite Partielle,25765.00,155630.00,10376580.00,52,Pays de la Loire,FZ,Construction,2020-10-27
Activite Partielle,46245.00,237585.00,16273595.00,52,Pays de la Loire,GZ,Commerce,2020-10-27
Activite Partielle,5550.00,98665.00,5390540.00,52,Pays de la Loire,HZ,Transports et entreposage,2020-10-27
Activite Partielle,31360.00,157160.00,12575135.00,52,Pays de la Loire,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,4090.00,33100.00,2016090.00,52,Pays de la Loire,JZ,Information et communication,2020-10-27
Activite Partielle,5390.00,20485.00,1181335.00,52,Pays de la Loire,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,3640.00,12360.00,854425.00,52,Pays de la Loire,LZ,Activités immobilières,2020-10-27
Activite Partielle,31085.00,246080.00,14143480.00,52,Pays de la Loire,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,16330.00,108420.00,5102730.00,52,Pays de la Loire,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,27815.00,106335.00,6436975.00,52,Pays de la Loire,RU,Autres activités de services,2020-10-27
Activite Partielle,2845.00,6975.00,493960.00,93,Provence-Alpes-Côte d'Azur,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,7835.00,33095.00,2446660.00,93,Provence-Alpes-Côte d'Azur,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,10.00,35.00,2420.00,93,Provence-Alpes-Côte d'Azur,C2,Cokéfaction et raffinage,2020-10-27
Activite Partielle,1460.00,14270.00,861015.00,93,Provence-Alpes-Côte d'Azur,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,395.00,8520.00,498085.00,93,Provence-Alpes-Côte d'Azur,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,12720.00,91560.00,6127005.00,93,Provence-Alpes-Côte d'Azur,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,1700.00,12535.00,807310.00,93,Provence-Alpes-Côte d'Azur,DE,Industries extractives,2020-10-27
Activite Partielle,41710.00,187445.00,14494015.00,93,Provence-Alpes-Côte d'Azur,FZ,Construction,2020-10-27
Activite Partielle,85880.00,374850.00,28498340.00,93,Provence-Alpes-Côte d'Azur,GZ,Commerce,2020-10-27
Activite Partielle,12850.00,137085.00,9075235.00,93,Provence-Alpes-Côte d'Azur,HZ,Transports et entreposage,2020-10-27
Activite Partielle,66225.00,342740.00,30078550.00,93,Provence-Alpes-Côte d'Azur,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,6835.00,44500.00,3230410.00,93,Provence-Alpes-Côte d'Azur,JZ,Information et communication,2020-10-27
Activite Partielle,9100.00,25550.00,1814665.00,93,Provence-Alpes-Côte d'Azur,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,11045.00,29865.00,2252465.00,93,Provence-Alpes-Côte d'Azur,LZ,Activités immobilières,2020-10-27
Activite Partielle,54685.00,305780.00,20168580.00,93,Provence-Alpes-Côte d'Azur,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,28895.00,146505.00,8416850.00,93,Provence-Alpes-Côte d'Azur,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,38505.00,152525.00,10966870.00,93,Provence-Alpes-Côte d'Azur,RU,Autres activités de services,2020-10-27
Activite Partielle,10.00,10.00,565.00,99,,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,0.00,10.00,1290.00,99,,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,25.00,120.00,5590.00,99,,FZ,Construction,2020-10-27
Activite Partielle,75.00,195.00,15930.00,99,,GZ,Commerce,2020-10-27
Activite Partielle,20.00,240.00,18200.00,99,,HZ,Transports et entreposage,2020-10-27
Activite Partielle,75.00,205.00,22280.00,99,,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,0.00,20.00,1445.00,99,,JZ,Information et communication,2020-10-27
Activite Partielle,40.00,120.00,8965.00,99,,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,10.00,75.00,2955.00,99,,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,50.00,70.00,5205.00,99,,RU,Autres activités de services,2020-10-27
